yr_m,port,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2007-02-01,呉,0,1,0,0,2,0
2007-02-01,宇野,0,0,0,0,0,0
2007-02-01,土生,0,0,0,0,0,0
2007-02-01,水島,0,2,0,4,9,0
2007-02-01,浜田,0,0,0,0,0,0
2007-02-01,境,0,1,0,0,0,0
2007-02-01,福山,0,0,0,0,0,0
2007-02-01,常石,0,0,0,0,0,0
2007-02-01,瀬戸田,0,0,0,1,0,0
2007-02-01,安芸津,0,0,0,0,0,0
2007-02-01,能地,0,0,0,0,0,0
2007-02-01,米　　 子(空港),681,518,0,769,570,0
2007-02-01,出　　 雲(空港),281,155,0,282,155,0
2007-02-01,岡　　 山(空港),6335,1246,0,6677,1443,0
2007-02-01,鳥　　 取(空港),0,0,0,0,0,0
2007-02-01,石　　 見(空港),0,0,0,0,0,0
2007-02-01,広　　 島(空港),11514,4084,28,11001,4513,17
2007-02-01,関　　 門(下関),867,6748,1,996,7241,0
2007-02-01,宇部,0,1,0,1,3,0
2007-02-01,徳山下松,0,0,0,0,0,0
2007-02-01,萩,0,0,0,0,0,0
2007-02-01,岩　　 国(空港),0,1,0,0,0,0
2007-02-01,山口宇部(空港),155,121,0,155,121,0
2007-02-01,福　　 岡(空港),53151,35372,217,55072,40866,249
2007-02-01,博多,8954,21233,22,9383,22871,0
2007-02-01,三池,0,0,0,0,0,0
2007-02-01,唐津,0,0,0,0,0,0
2007-02-01,長崎,0,0,0,2,0,0
2007-02-01,佐世保,0,0,0,0,0,0
2007-02-01,厳原,30,2206,0,30,1415,0
2007-02-01,三角,0,0,0,0,0,0
2007-02-01,比田勝,59,1009,0,60,1677,0
2007-02-01,佐伯,0,0,0,0,2,0
2007-02-01,佐賀関,0,0,0,0,0,0
2007-02-01,大分,4,5,0,1,2,0
2007-02-01,水俣,0,0,0,0,0,0
2007-02-01,八代,1,0,0,0,0,0
2007-02-01,伊万里,0,8,0,1,9,0
2007-02-01,別府,0,0,0,0,0,0
2007-02-01,臼杵,0,0,0,0,0,0
2007-02-01,熊　　 本(空港),863,1388,3,576,1616,0
2007-02-01,長洲,0,0,0,0,0,0
2007-02-01,長　　 崎(空港),687,3026,0,706,2767,0
2007-02-01,大　　 分(空港),397,1358,0,493,905,0
2007-02-01,福　　 江(空港),0,0,0,0,0,0
2007-02-01,関　　 門(門司),0,1,0,9,1,0
2007-02-01,関　　 門(戸畑),1,0,0,5,0,0
2007-02-01,北 九 州(空港),1277,676,0,1298,655,0
2007-02-01,佐護,0,0,0,0,0,0
2007-02-01,鹿児島,0,0,0,0,0,0
2007-02-01,鹿 児 島(空港),1459,3487,0,1697,3376,0
2007-02-01,名瀬,0,0,0,0,0,0
2007-02-01,細島,0,0,0,0,0,0
2007-02-01,志布志,0,0,0,0,0,0
2007-02-01,喜入,3,1,0,0,0,0
2007-02-01,宮　　 崎(空港),399,3500,0,428,3666,0
2007-02-01,川内,0,0,0,1,0,0
2007-02-01,佐　　 賀(空港),0,275,0,0,382,0
2007-02-01,那覇,36,1030,0,0,544,2
2007-02-01,那　　 覇(空港),3050,7237,580,3208,7502,682
2007-02-01,嘉 手 納(空港),6,115,0,15,111,0
2007-02-01,平良,0,0,0,0,0,0
2007-02-01,石垣,0,0,0,49,38,0
2007-02-01,普 天 間(空港),0,0,0,0,0,0
2007-02-01,石　　 垣(空港),11,184,0,11,183,0
2007-02-01,本部,0,0,0,0,0,0
2007-02-01,金武中城,0,1,0,0,0,0
2007-02-01,その他,5,6,0,13,18,0
2007-03-01,釧路,0,0,0,0,0,0
2007-03-01,稚内,0,0,0,0,1,0
2007-03-01,根室,0,0,0,0,0,0
2007-03-01,小樽,0,91,0,0,93,0
2007-03-01,室蘭,0,4,0,0,1,0
2007-03-01,函館,0,0,0,0,6,0
2007-03-01,留萌,0,0,0,0,0,0
2007-03-01,苫小牧,0,0,0,0,0,0
2007-03-01,新 千 歳(空港),11990,18095,60,11934,18523,0
2007-03-01,網走,0,0,0,0,0,0
